PMID|DCOM|DP|REC|ACC|PM
25821814|20151215|2015|2014/09/28|2014/12/30|2015/03/31
2027158|19910613|1991 Apr|N/A|N/A|1991/04/01
8181142|19940614|1994 May|N/A|N/A|1994/05/01
5877446|19670902|1965 Oct 1|N/A|N/A|1965/10/01
25552493|20150304|2015 Jan|N/A|N/A|2015/01/02
3376865|19880628|1988 Jun|N/A|N/A|1988/06/01
4297718|19680807|1968 Jan|N/A|N/A|1968/01/01
7609025|19950811|1995 Aug|N/A|N/A|1995/08/01
8901680|19961206|1996 Nov 1|N/A|N/A|1996/11/01
34803349|N/A|2021 Nov|N/A|N/A|2021/11/23
5075528|19721129|1972 Aug 26|N/A|N/A|1972/08/26
30564351|N/A|2018 Dec|2018/02/21|2018/09/06|2018/12/20
19174049|20090501|2009 Jan|N/A|N/A|2009/02/20
5099066|19711212|1971 Jul 15|N/A|N/A|1971/07/15
26224114|20160926|2016 Jan|N/A|2015/07/11|2015/08/01
14240422|19961201|1964 Jun 15|N/A|N/A|1964/06/15
31848591|20210625|2020 Jun 1|2019/06/01|2019/11/28|2019/12/19
973907|19761223|1976 Aug|N/A|N/A|1976/08/01
34541925|20211015|2021 Jan-Dec|N/A|N/A|2021/09/21
11024529|20001113|2000 Oct 2|N/A|N/A|2000/10/12
35418879|N/A|2022|2021/11/15|2022/02/25|2022/04/15
513441|19800228|1979|N/A|N/A|1979/01/01
24185948|20140701|2013 Nov|N/A|N/A|2013/11/05
20207278|20100610|2010 Mar-Apr|2009/02/18|2009/06/06|2010/03/09
969496|19761201|1976 Aug|N/A|N/A|1976/08/01
5721290|19690619|1967 Oct|N/A|N/A|1967/10/01
8371165|19931014|1993 Sep|N/A|N/A|1993/09/01
3381518|19880719|1988 Feb|N/A|N/A|1988/02/01
7689427|19930930|1993 Aug|N/A|N/A|1993/08/01
13841241|19981101|1959|N/A|N/A|1959/01/01
26546288|20160426|2015 Nov 6|2015/06/19|2015/10/28|2015/11/08
3836563|19860815|1985 Nov|N/A|N/A|1985/11/01
29032583|20180824|2018 Feb|2017/02/14|2017/06/02|2017/10/17
5310005|19700709|1970 Jan|N/A|N/A|1970/01/01
2258205|19910131|1990 May-Jun|N/A|N/A|1990/05/01
35136516|N/A|2021 Oct|N/A|N/A|2022/02/10
22200414|20121009|2012 Apr 4|2011/06/02|2011/12/12|2011/12/28
7635939|19950911|1995 Aug|N/A|N/A|1995/08/01
32404371|20210126|2020 May 13|N/A|N/A|2020/05/15
7431641|19810116|1980 Oct|N/A|N/A|1980/10/01
9031533|19970320|1996 Dec|N/A|N/A|1996/12/01
8682089|19960821|1995 Dec|N/A|N/A|1995/12/01
14244313|19961201|1964 Nov 14|N/A|N/A|1964/11/14
24998315|20150724|2014 Nov-Dec|2014/05/09|2014/05/29|2014/07/08
29105303|20180831|2018 Jan|N/A|N/A|2017/11/07
14772129|20040215|1950 Sep-Oct|N/A|N/A|1950/09/01
19763072|20100201|2009 Aug|N/A|N/A|2009/09/19
1070521|19770315|1976 Sep|N/A|N/A|1976/09/01
4039700|19850723|1985 Mar|N/A|N/A|1985/03/01
6312429|19831123|1983 Mar|N/A|N/A|1983/03/01
20625340|20111108|2011 May|N/A|N/A|2010/07/14
9537938|19980409|1998 Apr 15|N/A|N/A|1998/12/16
12526307|20030203|2001 Mar|N/A|N/A|2003/01/16
26658748|20170110|2016 Apr|N/A|N/A|2015/12/15
35168003|20220316|2022 Feb|2021/12/07|2022/01/21|2022/02/16
18210014|20090401|2008 Jan|N/A|N/A|2008/01/23
2923389|19890407|1989 Apr 1|N/A|N/A|1989/04/01
6288291|19821202|1982 Jun|N/A|N/A|1982/06/01
29113868|20190314|2018 Jan|2017/03/19|2017/04/26|2017/11/09
35100774|20220202|2022 Feb 1|N/A|N/A|2022/02/02
1825259|19910320|1991 Feb 15|N/A|N/A|1991/02/15
20927650|20110419|2011 Feb|2009/01/06|2010/02/09|2010/10/12
6015852|19670307|1967 Jan|N/A|N/A|1967/01/01
22858658|20130319|2012 May|2011/05/11|2011/09/20|2012/08/04
34291066|N/A|2021|2021/04/06|2021/04/20|2021/07/23
23041009|20130923|2013 Mar 20|2012/08/03|2012/09/22|2012/10/09
1470783|19930125|1992 Dec|N/A|N/A|1992/12/01
31597176|20200610|2020 Jan|N/A|N/A|2019/10/10
5675718|19681101|1968 Mar 18|N/A|N/A|1968/03/18
17938613|20080508|2007 Summer|N/A|N/A|2007/10/17
35269577|20220329|2022 Feb 23|2022/01/17|2022/02/21|2022/03/11
14208446|19961201|1964 Dec|N/A|N/A|1964/12/01
7347199|19821029|1981 Dec|N/A|N/A|1981/12/01
25459192|20170330|2015 Aug-Sep|2014/04/22|2014/09/11|2014/12/03
30364017|20181126|2018|2018/05/08|2018/08/27|2018/10/27
32812406|N/A|2020 Nov|2020/03/15|2020/07/14|2020/08/20
22848083|20130708|2013 Feb|N/A|N/A|2012/08/01
5148225|19720714|1971 Dec|N/A|N/A|1971/12/01
18820926|20090521|2008 Nov|N/A|N/A|2008/09/30
26011260|20160407|2015 Sep 1|2015/04/18|2015/05/07|2015/05/27
20457150|20101004|2010 Aug 25|2009/10/07|2010/04/24|2010/05/12
2989158|19850812|1985 Jan-Feb|N/A|N/A|1985/01/01
34686542|20220112|2021 Oct|N/A|2021/09/27|2021/10/24
33469618|20210712|2020 Dec|N/A|N/A|2021/01/21
34238069|N/A|2021 Jul 8|N/A|N/A|2021/07/10
23523188|20140425|2013 Sep-Oct|2012/11/12|2013/02/12|2013/03/26
9406676|19980112|1997 Dec|N/A|N/A|1997/12/24
2274878|19910225|1990|N/A|N/A|1990/01/01
10225391|19990610|1998|N/A|N/A|1999/05/04
13632581|20000701|1958 Dec 1|N/A|N/A|1958/12/01
15536696|20050128|2004 Oct 14|N/A|N/A|2004/11/13
3007064|19860508|1986 Mar 28|N/A|N/A|1986/03/28
8917278|19961211|1996 Nov 15|N/A|N/A|1996/11/15
15136402|20040728|2004 May|N/A|N/A|2004/05/12
31920130|20201125|2020 Apr|N/A|N/A|2020/01/11
2797574|19891107|1989 Sep 27|N/A|N/A|1989/09/27
13118810|20030501|1953 Nov 1|N/A|N/A|1953/11/01
18781477|20081218|2008 Sep|N/A|N/A|2008/09/11
11038797|20010111|1998 Sep|N/A|N/A|2000/10/20
29942875|N/A|2018 Mar|2017/11/26|2018/01/31|2018/06/27
8371898|19931014|1993 Aug|N/A|N/A|1993/08/01
31202763|20200520|2019 Oct|2019/02/01|2019/05/20|2019/06/17
3813267|19870319|1986|N/A|N/A|1986/01/01
6138696|19831220|1983 Oct 6|N/A|N/A|1983/10/06
5167030|19720226|1971 Oct|N/A|N/A|1971/10/01
13948691|19981101|1963 Jun 22|N/A|N/A|1963/06/22
30060840|20181029|2018 Jul|2018/02/28|2018/05/16|2018/08/01
17545725|20070813|2007 Jun 19|N/A|N/A|2007/06/05
2850342|19890210|1988 Dec|N/A|N/A|1988/12/01
28678556|20180129|2017 Aug|N/A|N/A|2017/07/06
3698228|19860527|1986 May|N/A|N/A|1986/05/01
29146514|N/A|2018 Jan|2017/10/06|2017/11/05|2017/11/18
2108636|19900502|1990 Mar|N/A|N/A|1990/03/01
16631620|20060622|2006 Jun 9|2006/03/23|2006/03/30|2006/04/25
33478241|20210726|2021 Feb|N/A|N/A|2021/01/23
5830139|19651130|1965|N/A|N/A|1965/01/01
34474346|20220126|2021 Nov|2021/06/16|2021/08/24|2021/09/03
967493|19761121|1976 Mar-Apr|N/A|N/A|1976/03/01
5425852|19700820|1970|N/A|N/A|1970/01/01
25865238|20160603|2015 Oct|N/A|2015/03/04|2015/04/14
3665786|19871216|1987|N/A|N/A|1987/01/01
30097120|20180816|2018 Jul 15|2017/12/01|2018/06/19|2018/08/12
3036947|19870826|1987 Aug 1|N/A|N/A|1987/08/01
12700039|20040211|2003 May 1|N/A|N/A|2003/04/18
2038373|19910703|1991 Jun 20|N/A|N/A|1991/06/20
4904919|19700319|1970 Feb 15|N/A|N/A|1970/02/15
29203562|20171212|2017 Dec|2017/05/25|2017/11/09|2017/12/06
27039955|20170501|2016 Nov|2016/02/02|2016/02/08|2016/10/25
23319102|20130715|2013 Mar|N/A|N/A|2013/01/16
12520839|20030404|2002 Nov|N/A|N/A|2003/01/11
1398543|19921125|1992 Oct|N/A|N/A|1992/10/01
11110518|20010531|2000 Nov|N/A|N/A|2000/12/08
14158248|19961201|1963 May|N/A|N/A|1963/05/01
4953985|19660121|1965 May|N/A|N/A|1965/05/01
15262855|20041214|2004 Jul 20|N/A|N/A|2004/07/21
10434753|19991029|1999 Jun|N/A|N/A|1999/08/06
1392186|19921113|1992 Jun|N/A|N/A|1992/06/01
13481645|20000701|1957 Nov-Dec|N/A|N/A|1957/11/01
25937192|20160201|2015 May|2014/12/23|2014/12/26|2015/05/06
9840598|19981214|1998 Nov|N/A|N/A|1998/12/05
7429926|19810116|1980 Jun 1|N/A|N/A|1980/06/01
17079017|20070329|2007 Mar|2006/07/23|2006/10/02|2006/11/03
5098991|19711212|1971 Sep|N/A|N/A|1971/09/01
21485462|20110531|2011 Jan-Feb|N/A|N/A|2011/04/14
19024618|20081125|2008 Oct 22-28|N/A|N/A|2008/11/26
18704015|20081118|2008 Oct|N/A|N/A|2008/08/16
2349186|19900709|1990 Feb|N/A|N/A|1990/02/01
10679479|20000316|2000 Feb 18|N/A|N/A|2000/02/19
18001532|20080512|2007 Aug 21|N/A|N/A|2007/11/16
20559889|20101012|2010 May|2010/01/21|2010/04/13|2010/06/19
24984860|20160502|2014 Jul 1|2014/01/08|2014/06/20|2014/07/06
24384973|20150406|2014 Jan|N/A|N/A|2014/01/05
18650967|20110714|2008 Spring|N/A|N/A|2008/07/25
1455389|19930106|1992|N/A|N/A|1992/01/01
15210138|20050113|2004 Jul-Aug|2003/07/08|2004/02/17|2004/06/24
4605801|19741216|1974 May 1|N/A|N/A|1974/05/01
28148910|20181024|2017 Feb 2|2016/07/14|2016/12/21|2017/02/06
23824828|20140318|2013 Sep|N/A|N/A|2013/07/05
17198997|20071105|2007 Jan|2006/07/28|2006/09/03|2007/01/03
34584417|20211228|2021|2021/07/02|2021/08/31|2021/09/30
18127934|20071227|1949 Mar|N/A|N/A|1949/03/01
17038643|20070104|2006 Nov 10|N/A|N/A|2006/10/14
34480832|20211013|2021 Oct|2020/10/26|2021/07/01|2021/09/05
26206211|20160831|2015 Nov 7|2014/09/11|2015/06/21|2015/07/25
1215245|19760410|1975 May|N/A|N/A|1975/05/01
17382683|20070417|2007 Apr|2006/10/24|2006/11/02|2007/03/27
31196685|20200612|2019 Oct 1|2019/04/18|2019/06/01|2019/06/15
14049317|19961201|1963 Jul|N/A|N/A|1963/07/01
6322319|19840413|1984 Mar 1|N/A|N/A|1984/03/01
28622497|20171218|2017 Jul|N/A|N/A|2017/06/18
15426877|20040930|1950 Jul|N/A|N/A|1950/07/01
21900081|20111115|2011 Sep 20|N/A|N/A|2011/09/09
21115000|20110418|2011 Feb 10|2010/05/19|2010/10/31|2010/12/01
18039618|20080124|2007 Dec 2|N/A|N/A|2007/11/28
22020234|20120312|2012 Feb|N/A|N/A|2011/10/25
8135439|19940415|1994 Mar|N/A|N/A|1994/03/01
1205050|19760330|1975|N/A|N/A|1975/01/01
13815803|19981101|1960 May-Jun|N/A|N/A|1960/05/01
14444415|19981101|1960 Jan|N/A|N/A|1960/01/01
4529604|19750110|1974 Oct|N/A|N/A|1974/10/01
4330109|19720112|1971 Mar|N/A|N/A|1971/03/01
4865127|19680302|1967 Dec 15|N/A|N/A|1967/12/15
14096926|19961201|1963 Nov|N/A|N/A|1963/11/01
13517353|20000701|1958 Feb 1|N/A|N/A|1958/02/01
30273933|20190306|2018|2018/04/06|2018/07/28|2018/10/03
24268009|20140731|2014 Feb|N/A|N/A|2013/11/26
5867286|19660627|1965 Sep 3|N/A|N/A|1965/09/03
31005721|20190819|2019 May|2018/07/23|2018/11/20|2019/04/22
14105712|19961201|1964 Jan|N/A|N/A|1964/01/01
24732446|20151028|2014 Sep|N/A|N/A|2014/04/16
553962|19810317|1979 Dec|N/A|N/A|1979/12/01
1273652|19760802|1976 Jan|N/A|N/A|1976/01/01
26098885|20160425|2015|2015/05/13|2015/05/26|2015/06/23
26376927|20160808|2015 Nov|2015/07/08|2015/09/10|2015/09/18
16471075|20060307|2006 Feb|N/A|N/A|2006/02/14
27745924|20171207|2016 Nov|N/A|N/A|2016/10/30
2356520|19900726|1990|N/A|N/A|1990/01/01
8415583|19931101|1993 Jul|N/A|N/A|1993/07/01
26580581|20170214|2016 Nov/Dec|N/A|N/A|2015/11/19
13595483|20000701|1958 Nov|N/A|N/A|1958/11/01
30743079|20200213|2019 Apr|2018/10/09|2018/10/16|2019/02/12
23948227|20140402|2013 Oct 1|2013/02/21|2013/07/31|2013/08/21
14069391|19961201|1963 Jul|N/A|N/A|1963/07/01
20200760|20100708|2010 Jan|N/A|N/A|2010/03/05
13079281|20030501|1953 Aug|N/A|N/A|1953/08/01
27440213|20160901|2016 Summer|N/A|N/A|2016/07/22
20267385|20100318|1947 Jul|N/A|N/A|1947/07/01
5876375|19670720|1965 Nov-Dec|N/A|N/A|1965/11/01
13558931|20000701|1958 May-Jun|N/A|N/A|1958/05/01
33938158|20211028|2021 Aug|2020/08/18|2021/04/22|2021/05/04
1115070|19750521|1975 Feb|N/A|N/A|1975/02/01
1845655|19931021|1991 Nov-Dec|N/A|N/A|1991/11/01
10654540|20000217|2000 Jan|N/A|N/A|2000/02/02
17297593|20071203|2007 Feb|2006/07/26|2006/11/29|2007/02/14
25994749|20160615|2015 Sep 1|N/A|N/A|2015/05/23
3245025|19890526|1988 Oct|N/A|N/A|1988/10/01
14479624|19981101|1962 Jul-Sep|N/A|N/A|1962/07/01
1695914|19900905|1990 Jul|N/A|N/A|1990/07/01
8465793|19930503|1993 Apr 15|N/A|N/A|1993/04/15
31114444|N/A|2019|2017/09/04|2017/09/28|2019/05/23
30798111|20200618|2019 Apr 15|2019/01/14|2019/02/12|2019/02/25
1468731|19930125|1992 Nov|N/A|N/A|1992/11/01
18586364|20081231|2008 Jul 29|2007/11/29|2008/05/09|2008/07/01
727968|19790221|1978|N/A|N/A|1978/01/01
5570265|19711112|1971|N/A|N/A|1971/01/01
8375994|19931021|1993 Aug|N/A|N/A|1993/08/01
22488075|20120906|2012 Jul|N/A|N/A|2012/04/11
11234267|20010510|2001|N/A|N/A|2001/03/10
9594532|19980617|1998 Apr 15|N/A|N/A|1998/05/22
32837724|N/A|2020 Jul 23|2020/05/19|2020/06/22|2020/08/25
18441464|20080911|2008 May|N/A|N/A|2008/04/29
17200452|20070129|2007 Jan 2|N/A|N/A|2007/01/04
3378358|19880725|1988 Apr 15|N/A|N/A|1988/04/15
24886708|20141021|2014 May 23|2013/11/22|2014/05/02|2014/06/03
20190413|20100920|2010|N/A|N/A|2010/03/02
4623731|19720725|1972 Jun|N/A|N/A|1972/06/01
23623331|20131031|2013 Aug 1|2013/01/26|2013/03/19|2013/04/30
32205210|20210414|2020 Jul|2019/11/03|2020/03/17|2020/03/25
32402564|20210215|2020 Jul|2020/02/15|2020/04/20|2020/05/14
5601865|19681209|1967|N/A|N/A|1967/01/01
18990327|20081217|2008 Nov|N/A|N/A|2008/11/08
26769456|20161013|2016|N/A|N/A|2016/01/16
31292626|20200604|2019 Sep 21|N/A|N/A|2019/07/12
8517261|19930722|1993 Jan-Jun|N/A|N/A|1993/01/01
13748446|19981101|1961|N/A|N/A|1961/01/01
32286167|20210226|2020 Apr|N/A|N/A|2020/04/15
19710029|20091217|2009 Dec|N/A|N/A|2009/08/28
33937934|20220110|2021 Aug|2020/12/21|2021/04/20|2021/05/04
24458918|20141010|2014 Feb|2013/10/26|2013/12/24|2014/01/25
21066975|20110106|2010 Jul-Aug|N/A|N/A|2010/11/12
5911564|19661126|1966 Sep|N/A|N/A|1966/09/01
16872979|20060912|2006 Aug|2005/11/27|2006/04/25|2006/07/29
635675|19780517|1978 Jan|N/A|N/A|1978/01/01
32792310|20210423|2020 Dec|2020/05/12|2020/06/09|2020/08/15
29047036|20180924|2018 Feb|N/A|N/A|2017/10/20
15618537|20050802|2005 Feb 4|N/A|N/A|2004/12/25
33196004|N/A|2020 Sep|2020/06/30|2020/09/11|2020/11/17
28400924|N/A|2017 Mar 26|2016/07/13|2016/12/16|2017/04/13
11247042|20010405|2000 Dec|N/A|N/A|2001/03/15
23471223|20131017|2013 May|2012/08/07|2013/02/12|2013/03/09
15674945|20050527|2005 Jan 25|N/A|N/A|2005/01/28
2844874|19881123|1988 Nov|N/A|N/A|1988/11/01
20967453|20110418|2011 Jan|2010/05/31|2010/10/06|2010/10/23
32542148|N/A|2020 May 13|N/A|N/A|2020/06/17
1850589|19910530|1991 May|N/A|N/A|1991/05/01
31125424|20200214|2019 Aug|2019/01/21|2019/05/21|2019/05/28
13867772|19981101|1961 Sep|N/A|N/A|1961/09/01
4190199|19700406|1970 Mar 7|N/A|N/A|1970/03/07
13881285|19981101|1962 May|N/A|N/A|1962/05/01
30545483|20191213|2019 Mar 1|2018/10/04|2018/11/26|2018/12/14
19695232|20091013|2009 Oct 23|2009/08/11|2009/08/12|2009/08/22
12841341|20040301|2003 Apr|N/A|N/A|2003/07/05
33094911|N/A|2020 Oct 23|2020/07/02|2020/08/26|2020/10/24
28796942|20180813|2017 Aug 3|N/A|N/A|2017/08/11
5029447|19720801|1972 Apr|N/A|N/A|1972/04/01
5599018|19681101|1967 Dec|N/A|N/A|1967/12/01
14102526|19961201|1963|N/A|N/A|1963/01/01
4817715|19740522|1974 Apr|N/A|N/A|1974/04/01
4255425|19711207|1971|N/A|N/A|1971/01/01
27858465|20170126|2017 Jan|N/A|N/A|2016/11/20
7567286|19951121|1995 Jul|N/A|N/A|1995/07/01
7689425|19930930|1993 Aug|N/A|N/A|1993/08/01
14200891|19961201|1964|N/A|N/A|1964/01/01
17172398|20070404|2006 Dec|N/A|N/A|2006/12/19
15725647|20060324|2005 Winter|N/A|N/A|2005/02/24
13577465|20000701|1958 Jul|N/A|N/A|1958/07/01
31440310|N/A|2019 Aug|2019/01/10|2019/03/22|2019/08/24
30885147|20190425|2019 Mar 18|2019/01/04|2019/03/13|2019/03/20
11549342|20020103|2001 Sep|N/A|N/A|2001/09/11
27829640|20170206|2016 Dec 2|N/A|N/A|2016/11/11
15790132|20050628|2005 Mar-Apr|N/A|N/A|2005/03/26
31269814|20200427|2019 Jul|N/A|N/A|2019/07/05
16132296|20060925|2006 Jan-Feb|N/A|N/A|2005/09/01
24249711|20140616|2013 Nov 18|N/A|N/A|2013/11/20
4371402|19750116|1974 Sep 1|N/A|N/A|1974/09/01
7744630|19950615|1995 Apr|N/A|N/A|1995/04/01
14167546|19961201|1964 Apr|N/A|N/A|1964/04/01
4790066|19740716|1973|N/A|N/A|1973/01/01
18546146|20080902|2008 Jul|N/A|N/A|2008/06/12
15922227|20050818|2005 Jun|N/A|2004/08/24|2005/06/01
34389692|20211206|2021 Nov|N/A|2021/08/10|2021/08/15
2837073|19880628|1988 Jun|N/A|N/A|1988/06/01
16336207|20060503|2006 Mar|N/A|N/A|2005/12/13
9288559|19971023|1997|N/A|N/A|1997/01/01
9014868|19970220|1996 Dec|N/A|N/A|1996/12/01
15583078|20050712|2005 Jan|N/A|N/A|2004/12/08
25075144|20160126|2014 May|N/A|N/A|2014/07/31
35286042|N/A|2022|N/A|N/A|2022/03/15
924640|19780127|1977 Apr|N/A|N/A|1977/04/01
3314440|19871130|1987 Nov|N/A|N/A|1987/11/01
30311689|20191206|2019 Feb|2017/11/29|2018/05/30|2018/10/13
11603647|20020527|2001 Oct|N/A|N/A|2001/10/18
14099306|19961201|1963 Aug|N/A|N/A|1963/08/01
35232470|N/A|2022 Mar 1|2021/10/21|2022/01/16|2022/03/03
4575168|19730802|1973 Jul|N/A|N/A|1973/07/01
9610063|19980625|1998 May|N/A|N/A|1998/06/04
32652140|20200916|2020 Sep 15|2020/05/24|2020/07/05|2020/07/12
24573249|20150213|2014 Feb 25|2013/12/09|2014/02/11|2014/02/28
13160072|20030501|1954 Mar|N/A|N/A|1954/03/01
18781472|20081218|2008 Sep|N/A|N/A|2008/09/11
25235|19780612|1978 Apr 13|N/A|N/A|1978/04/13
13093880|20030501|1953 Oct|N/A|N/A|1953/10/01
21168897|20110411|2011 Mar|2010/06/12|2010/11/21|2010/12/21
13509863|20000701|1957 Jul|N/A|N/A|1957/07/01
15193704|20040723|2004 Jun 16|2003/09/22|2004/01/12|2004/06/15
33204684|20210317|2020|2020/05/21|2020/08/24|2020/11/19
21382894|20110523|2011 Mar 22|N/A|N/A|2011/03/09
25639690|20160212|2015 May|2014/07/26|2015/01/23|2015/02/03
26730299|20160105|2015 Dec 26|2015/02/01|2015/09/29|2016/01/06
13152313|20030501|1954 May|N/A|N/A|1954/05/01
15539749|20050203|2004 Nov|N/A|N/A|2004/11/13
30279784|N/A|2017 Jul|2016/11/30|2017/03/12|2017/04/14
3714419|19860715|1986 Apr|N/A|N/A|1986/04/01
9322152|19971105|1997 Sep|N/A|N/A|1997/10/10
33888272|20210818|2021 Apr|2020/10/28|2020/12/16|2021/04/24
32040731|20201021|2020 May|2019/11/18|2019/12/18|2020/02/11
30170778|20190227|2018 Nov|2018/07/17|2018/07/31|2018/09/02
29165973|20171214|2016|N/A|N/A|2016/01/01
646910|19780715|1978 Apr|N/A|N/A|1978/04/01
27031379|20170530|2016 Aug|N/A|N/A|2016/04/01
1235132|19770425|1975 Nov|N/A|N/A|1975/11/01
30167526|N/A|2016 Aug|N/A|N/A|2016/08/29
333891|19771130|1977 Nov|N/A|N/A|1977/11/01
13371421|20020501|1956 Oct|N/A|N/A|1956/10/01
20169215|20100525|2009 Aug|2008/09/24|2009/07/16|2010/02/20
19488807|20100126|2009 Oct|2009/02/25|2009/04/18|2009/06/03
12957757|20031209|2003 Aug|N/A|N/A|2003/09/06
211297|19781129|1978 May|N/A|N/A|1978/05/01
26415795|20160418|2015 Oct 5|N/A|N/A|2015/09/30
3820536|19870421|1986 Dec|N/A|N/A|1986/12/01
524562|19800324|1979 Dec|N/A|N/A|1979/12/01
14208441|19961201|1964 Dec|N/A|N/A|1964/12/01
13291512|20030501|1956 Jan|N/A|N/A|1956/01/01
117735|19800228|1979|N/A|N/A|1979/01/01
19586792|20090925|2009 Jul-Aug|2008/07/13|2009/05/18|2009/07/10
29196036|20190919|2018 Jun 22|2017/09/14|2017/10/19|2017/12/03
12707055|20030625|2003 May|N/A|N/A|2003/04/23
14522413|20031215|2003 Oct 15|N/A|N/A|2003/10/03
8067003|19940916|1994 Jan|N/A|N/A|1994/01/01
17663865|20070821|2007 Jul|N/A|N/A|2007/08/01
17469291|20070604|2007 Mar|N/A|N/A|2007/05/02
8390975|19930729|1993|N/A|N/A|1993/01/01
14786675|20040215|1950 Aug 15|N/A|N/A|1950/08/15
13990801|19981101|1962 Jun 1-3|N/A|N/A|1962/06/01
19026572|20100504|2010 Mar-Apr|2007/11/30|2008/09/21|2008/11/26
17498494|20080414|2007 May|N/A|N/A|2007/05/15
13327895|20030501|1955|N/A|N/A|1955/01/01
17440647|20070529|2007 Apr|N/A|N/A|2007/04/19
10331545|19990625|1999 Apr|N/A|N/A|1999/05/20
21814868|20120413|2011 Oct|N/A|N/A|2011/08/05
4346363|19730323|1972 Nov|N/A|N/A|1972/11/01
23283854|20130305|2013 Jan 1|N/A|N/A|2013/01/04
25856947|20150424|2014 Aug|N/A|N/A|2015/04/11
30700861|20200109|2019 Mar|N/A|N/A|2019/02/01
31712098|20200514|2020 Apr|2019/08/12|2019/10/24|2019/11/13
714560|19790126|1978 Nov|N/A|N/A|1978/11/01
9603535|19980611|1998 May 12|N/A|N/A|1998/05/29
27923584|20170809|2017 Feb|2016/07/07|2016/08/16|2016/12/08
9708802|19980825|1998 Aug|N/A|N/A|1998/08/26
14805095|20040215|1951 Feb 24|N/A|N/A|1951/02/24
26104971|20160822|2015 Dec|N/A|N/A|2015/06/25
9436137|19980226|1997 Dec|N/A|N/A|1998/01/22
6100130|19850702|1984 Oct-Dec|N/A|N/A|1984/10/01
19583449|20091030|2009 Jul 9|N/A|N/A|2009/07/09
6071094|19680214|1967|N/A|N/A|1967/01/01
7610673|19950817|1995|N/A|N/A|1995/01/01
3922642|19850716|1985 Jun|N/A|N/A|1985/06/01
18617316|20090127|2008 Oct|2008/01/08|2008/04/24|2008/07/12
19022028|20090106|2008 Dec|2007/12/20|2008/04/25|2008/11/22
18032767|20071128|2007 Nov 22|N/A|N/A|2007/11/23
19122283|20090415|2009 Jan|N/A|N/A|2009/01/06
19957712|20100319|2009 Apr-Jun|N/A|N/A|2009/12/05
15364335|20041021|2004 Sep 15|N/A|N/A|2004/09/15
33487539|N/A|2021 Jan 21|2020/12/05|2021/01/07|2021/01/26
29186442|20190531|2018 Dec 1|2017/04/20|2017/10/31|2017/12/01
30930448|20190806|2019 Mar|N/A|N/A|2019/04/02
18284356|20080404|2008 Mar 15|N/A|N/A|2008/03/20
29572367|20180912|2018 Mar 22|N/A|N/A|2018/03/25
3516054|19860502|1986 Mar-Apr|N/A|N/A|1986/03/01
1117553|19750606|1975 Feb|N/A|N/A|1975/02/01
6154812|19800722|1980 Apr|N/A|N/A|1980/04/01
124302|19750904|1975 May|N/A|N/A|1975/05/01
