PMID|DCOM|DP|REC|ACC|PM
33566089|20210308|2021 Mar 2|N/A|N/A|2021/02/11
35233725|N/A|2022 Mar 2|2021/12/15|N/A|2022/03/03
34690485|N/A|2021|N/A|2021/05/14|2021/10/26
33902827|20210517|2021 May|2020/09/22|N/A|2021/04/28
33849879|20210416|2021 Apr 13|N/A|N/A|2021/04/15
34327751|20220216|2022 Mar|2021/06/10|2021/07/21|2021/07/31
34709228|20211101|2021 Nov|N/A|N/A|2021/10/29
35355964|N/A|2022|2021/12/08|2022/02/15|2022/04/01
32910974|20210217|2021 Feb|2020/08/13|2020/08/26|2020/09/11
32787714|20210111|2021 Jan 5|N/A|N/A|2020/08/14
33615982|20210402|2021 Apr 3|N/A|N/A|2021/02/23
32507570|20201217|2020 Nov|2020/05/04|2020/05/25|2020/06/09
34981505|20220323|2022 Apr|2021/09/13|2021/11/11|2022/01/05
33708264|N/A|2021 Feb|2020/09/07|2020/12/03|2021/03/13
32702395|20200930|2020 Oct|2020/06/05|2020/07/09|2020/07/24
34061779|20210720|2021 Jul 8|N/A|N/A|2021/06/02
33391924|N/A|2020 Nov 24|N/A|N/A|2021/01/05
33346424|20201222|2020 Oct 14|2020/10/13|2020/10/13|2020/12/22
33428826|20210414|2021 May|2020/11/17|2020/12/23|2021/01/12
32255659|20200619|2020 Apr|N/A|N/A|2020/04/08
34956950|N/A|2021|2020/07/11|N/A|2021/12/28
32415992|20201112|2020 Jul|2020/04/25|2020/05/06|2020/05/18
34704672|20220104|2021 Dec|2021/06/18|2021/10/05|2021/10/28
33791862|20210810|2021 Sep|2021/02/09|2021/03/21|2021/04/02
33153536|20201204|2020 Nov|2020/07/07|2020/08/21|2020/11/07
34722913|N/A|2021 Apr|2020/07/29|2020/10/30|2021/11/02
34620179|20211028|2021 Oct 7|2021/03/29|2021/07/26|2021/10/09
33580645|20210414|2021 Apr 27|2020/07/07|2020/10/09|2021/02/14
35307156|N/A|2022 Mar 14|N/A|N/A|2022/03/22
34808708|N/A|2021 Nov 19|N/A|N/A|2021/11/23
34601006|N/A|2021 Sep 30|2021/09/16|2021/09/22|2021/10/04
34080005|20210723|2021 Jul 20|N/A|N/A|2021/06/04
35141346|N/A|2022 Mar|2021/11/19|2021/12/29|2022/02/11
34367386|N/A|2021 Nov|2021/07/22|2021/07/27|2021/08/10
32293910|20200715|2020 Jul 7|N/A|N/A|2020/04/16
33546881|20210414|2021 Apr|2020/06/28|2020/11/02|2021/02/07
33657418|20210324|2021 Mar 9|2021/01/18|2021/02/09|2021/03/04
32814095|20201223|2020 Nov|2020/07/09|2020/08/14|2020/08/20
33648933|20210308|2021 Mar 1|N/A|N/A|2021/03/03
33304708|N/A|2020 Dec 4|N/A|N/A|2020/12/12
35370016|20220418|2022 Apr 26|2022/01/12|2022/03/12|2022/04/05
35345745|N/A|2022 Feb|N/A|2022/02/20|2022/03/30
35004872|N/A|2021|2021/07/06|2021/11/15|2022/01/11
34189042|N/A|2021|2021/05/17|2021/06/14|2021/07/01
34731691|20220322|2022 Jan-Feb|2021/06/18|2021/10/02|2021/11/04
34185045|20211020|2021 Oct 1|N/A|N/A|2021/06/30
35401904|N/A|2022 Jun|2022/03/02|2022/03/09|2022/04/12
33934560|20210803|2021 Aug|2021/02/08|2021/03/19|2021/05/03
32334650|20200512|2020 May 9|2020/03/13|2020/04/07|2020/04/27
34092429|20210625|2021 Jun 29|2021/03/24|2021/05/25|2021/06/08
32363381|20200615|2020 Jun 7|N/A|N/A|2020/05/05
34943043|N/A|2021 Dec 3|2021/10/26|2021/11/27|2021/12/25
32666137|20200903|2020 Oct|2020/06/03|2020/06/28|2020/07/16
33508856|20210208|2021 Jan 4|2020/06/29|2020/09/27|2021/01/29
34459992|N/A|2021 Aug 30|2021/05/04|2021/08/18|2021/08/31
33155934|20201110|2020 Jun 19|2020/06/01|2020/06/16|2020/11/07
33688413|N/A|2020 Jul-Sep|2020/08/15|2020/08/20|2021/03/11
34709227|20211101|2021 Nov|N/A|N/A|2021/10/29
34688947|20211208|2021 Dec|2021/09/12|2021/10/14|2021/10/25
35251812|N/A|2022 Jan|N/A|2022/01/30|2022/03/08
33282573|N/A|2020 Nov 2|N/A|N/A|2020/12/08
33426597|20210121|2021 Jan 11|2020/11/18|2020/11/24|2021/01/12
34166671|20211105|2021 Nov|2021/06/03|2021/06/17|2021/06/25
35369323|N/A|2022|2021/12/17|2022/02/21|2022/04/05
34402228|20210825|2021 Aug 16|2021/07/28|2021/08/02|2021/08/18
35285858|N/A|2022 Mar 14|2021/11/25|2022/02/02|2022/03/15
34153080|20211117|2021|2021/02/26|2021/06/08|2021/06/22
34340244|20210806|2021 Jul 1|N/A|N/A|2021/08/03
33133827|N/A|2020 Sep 25|N/A|N/A|2020/11/03
33459727|20220202|2021 Dec 20|N/A|N/A|2021/01/19
33615872|20211130|2021 Nov|N/A|N/A|2021/02/23
34636504|20211018|2021 Oct 11|2021/08/20|2021/09/27|2021/10/13
34703656|N/A|2021|N/A|2021/09/29|2021/10/28
33954066|N/A|2021 Apr 1|N/A|N/A|2021/05/07
34081219|20210609|2021 Jun 3|N/A|2021/04/15|2021/06/04
33975819|20211109|2021 Nov|2021/02/08|2021/04/08|2021/05/13
32959998|N/A|2020 Sep 22|2020/07/08|2020/07/30|2020/09/23
34506211|20220201|2022 Jan 27|N/A|N/A|2021/09/11
32673505|20200924|2020 Sep 15|N/A|N/A|2020/07/17
34282971|20211108|2021 Nov|N/A|N/A|2021/07/21
34312010|20210812|2021 Aug 16|2021/06/08|2021/07/07|2021/07/28
34848416|20211203|2021 Nov 30|N/A|N/A|2021/12/02
32360126|20200608|2020 Jul 15|2020/04/15|2020/04/17|2020/05/04
33474768|20210518|2021 Jun|2020/11/09|2020/12/21|2021/01/22
34738500|20220121|2022 Jan|N/A|N/A|2021/11/06
35312833|20220328|2022 Apr|N/A|2022/01/24|2022/03/22
33070544|20201028|2020 Sep 30|2020/07/02|2020/08/07|2020/10/20
33833938|20210414|2021 Feb 12|N/A|N/A|2021/04/10
34262828|N/A|2021 Jul|N/A|2021/07/03|2021/07/16
32945641|20200925|2020 Sep 9|2020/05/15|2020/08/07|2020/09/19
34560165|20211013|2021 Nov 15|2021/09/02|2021/09/17|2021/09/25
34672005|20211203|2021 Oct|2021/06/08|2021/09/22|2021/10/22
32578167|20200813|2020 Aug|N/A|N/A|2020/06/25
32315733|20200709|2020 Jun|2020/04/07|2020/04/15|2020/04/22
32843127|20200914|2020 Aug 26|N/A|N/A|2020/08/28
35398005|N/A|2022 Apr 6|2021/12/16|2022/03/06|2022/04/11
34235815|20211022|2021 Nov|2021/01/25|2021/05/24|2021/07/09
32802614|N/A|2020 Jul 14|N/A|N/A|2020/08/18
33128859|20210723|2021 Jul|2020/09/08|2020/10/19|2020/11/01
32556106|20210107|2021 Jan 1|2020/05/14|N/A|2020/06/20
34282465|20211108|2021 Nov|2021/04/30|2021/07/12|2021/07/21
35380300|N/A|2022 Apr 5|2022/02/08|2022/03/24|2022/04/06
34010841|20210806|2021|2021/01/05|2021/01/22|2021/05/20
35223423|N/A|2022|2022/01/19|2022/02/15|2022/03/01
34347001|20211006|2021 Sep 28|N/A|N/A|2021/08/05
32654210|20201230|2020 Aug|2020/05/08|2020/06/07|2020/07/13
33892935|20210706|2021 May|2021/03/14|2021/03/15|2021/04/25
34374740|20211230|2021 Dec 1|N/A|N/A|2021/08/11
34916217|20211229|2021 Dec 16|N/A|N/A|2021/12/18
34534589|20220103|2022 Feb|2021/07/28|2021/09/03|2021/09/18
33211242|20210414|2021 Apr|2020/06/11|2020/10/26|2020/11/20
33168640|20201118|2020 Nov|2020/06/06|2020/08/19|2020/11/11
34233783|N/A|2021 Jul 8|N/A|N/A|2021/07/09
33089060|N/A|2020 Oct|2020/04/23|2020/07/07|2020/10/23
32771570|20201126|2020 Nov|2020/05/27|2020/06/11|2020/08/11
35412558|20220414|2022 Apr 12|N/A|N/A|2022/04/13
35187464|N/A|2022 Feb 13|2021/11/08|2022/02/08|2022/02/22
34138828|20210621|2021 Jun 17|N/A|N/A|2021/06/18
32928810|20200924|2020 Sep 14|N/A|N/A|2020/09/16
34967105|20220217|2022 Feb|2021/09/26|2021/12/09|2021/12/31
35189775|N/A|2022 Feb 21|N/A|N/A|2022/02/23
33301863|20210818|2021 Jul-Aug|2020/09/29|2020/12/03|2020/12/11
35333945|N/A|2022 Mar 25|2022/03/06|2022/03/07|2022/03/26
34536056|20220104|2021 Dec|2021/07/17|2021/09/01|2021/09/19
32405457|N/A|2020 Jul|N/A|N/A|2020/05/15
34088761|20210906|2021 Sep|N/A|2021/06/01|2021/06/06
32483300|20200714|2020 Jul|2020/05/05|2020/05/21|2020/06/03
34864876|N/A|2021 Dec 2|N/A|N/A|2021/12/06
34656482|20220411|2022 Apr|2021/05/03|2021/08/31|2021/10/18
32524957|20200618|2020 Jun|N/A|N/A|2020/06/12
33980782|20210602|2021 May 25|N/A|N/A|2021/05/14
32890666|20201029|2020 Oct 27|2020/06/26|2020/08/25|2020/09/06
33312009|N/A|2020|2020/08/27|2020/11/01|2020/12/15
35197452|20220311|2022 Feb 23|2021/10/04|2022/01/17|2022/02/25
34002620|20210809|2021 Jul 27|N/A|N/A|2021/05/19
33681537|N/A|2021 Apr|2020/12/03|2021/01/05|2021/03/09
32270559|20200507|2020 May|2020/04/01|2020/04/02|2020/04/10
32219357|20200930|2020 Jul 1|N/A|N/A|2020/03/29
35275269|20220415|2022 May|2021/12/31|2022/02/25|2022/03/12
33064176|20210211|2021 Feb|2020/04/22|2020/09/21|2020/10/17
34572420|N/A|2021 Sep 16|2021/08/11|2021/09/13|2021/09/29
32670475|20200727|2020 Apr-Jun|N/A|N/A|2020/07/17
33065315|20210122|2021 Jan|2020/07/09|2020/10/08|2020/10/17
33025305|20201105|2020 Nov|2020/06/22|2020/09/03|2020/10/08
32425483|20200724|2020 Jan - Feb|2020/03/15|2020/03/15|2020/05/20
35024942|20220203|2022 Feb|2021/10/24|2021/12/30|2022/01/14
33628655|N/A|2021 Jan 19|N/A|N/A|2021/02/26
34542340|20211008|2021 Sep|N/A|N/A|2021/09/21
33046850|20210225|2021 Mar|N/A|2020/08/17|2020/10/14
32368755|N/A|2020 Jul 15|2020/04/15|2020/04/20|2020/05/06
33493353|20211011|2021 Oct 2|2020/10/02|2020/12/19|2021/01/26
35100754|20220203|2022 Feb 1|N/A|N/A|2022/02/02
34584599|20211004|2021|2021/01/11|2021/05/30|2021/09/30
34336948|N/A|2021|2021/03/24|2021/06/09|2021/08/03
33485182|20210325|2021 Mar|2020/09/14|2021/01/05|2021/01/24
32338706|20200706|2020 Jul 1|2020/04/14|2020/04/16|2020/04/28
35289916|N/A|2022 Mar 15|2022/03/04|2022/03/12|2022/03/16
34928467|N/A|2021 Dec 20|2021/06/23|2021/12/13|2021/12/21
34910083|20220314|2022 Mar 1|N/A|N/A|2021/12/16
33122017|20210127|2021 Feb 1|2020/10/16|2020/10/20|2020/10/31
34599493|20211206|2021|2021/09/22|2021/09/22|2021/10/03
32816003|20201030|2020 Oct 27|N/A|N/A|2020/08/21
32720537|20200820|2020 Aug|N/A|N/A|2020/07/29
34025853|N/A|2021|2021/03/03|2021/03/11|2021/05/25
35197815|20220225|2022|2021/08/18|2022/01/07|2022/02/25
34374593|20211208|2021 Dec|N/A|N/A|2021/08/11
33162729|N/A|2020|N/A|2020/10/05|2020/11/10
33402328|20220331|2022 Apr|N/A|2020/12/14|2021/01/07
35063268|20220304|2022 Mar 15|2021/11/21|2021/12/07|2022/01/23
34514306|N/A|2021 Aug|2021/05/23|2021/07/26|2021/09/14
33111813|20201029|2020|2020/05/21|2020/07/28|2020/10/29
34765217|N/A|2021 Nov|2021/09/01|2021/10/22|2021/11/13
33847291|20210423|2021 May 1|N/A|N/A|2021/04/14
34311684|20210728|2021 Jul 1|2021/04/17|2021/05/20|2021/07/28
32952811|20200928|2020|2020/06/01|2020/06/12|2020/09/22
33181855|20201221|2020 Nov 2|N/A|N/A|2020/11/13
34225328|20220202|2022 Feb 1|N/A|N/A|2021/07/06
35378738|N/A|2022 Jun|2022/02/01|2022/03/16|2022/04/06
34104859|N/A|2021 Feb|2020/07/09|2020/12/28|2021/06/10
32837143|N/A|2020 Jun|N/A|N/A|2020/08/25
32329981|20200611|2020 May 29|N/A|N/A|2020/04/25
34796078|N/A|2021 Oct|N/A|2021/10/15|2021/11/20
34286876|20210903|2021 Aug|2021/04/05|2021/07/08|2021/07/22
32227076|20200622|2020 Jun 7|N/A|N/A|2020/04/01
34535317|20211008|2021 Oct 8|2021/06/11|2021/09/01|2021/09/19
33969316|N/A|2021 Apr|N/A|N/A|2021/05/11
34331307|20211105|2021|2021/07/27|2021/07/27|2021/08/01
33952432|20220224|2022 Feb|2021/01/12|2021/04/07|2021/05/07
35438579|N/A|2022 Jan-Dec|N/A|N/A|2022/04/20
34748677|20220210|2022 Jan|2021/08/23|2021/10/22|2021/11/09
35350578|N/A|2022|2021/12/17|2022/01/28|2022/03/31
33132119|20201216|2021 Jan - Feb|2020/09/28|2020/10/22|2020/11/03
35156705|20220414|2022 May|2021/12/30|2022/02/09|2022/02/15
33400998|20210311|2021 Apr|2020/12/27|2020/12/28|2021/01/06
33687357|20210312|2021 Mar|N/A|N/A|2021/03/10
34586408|N/A|2021 Sep 29|2021/09/18|2021/09/23|2021/09/30
34851078|20220304|2022 Feb 28|N/A|N/A|2021/12/02
32345547|20200622|2020 Jun|2020/03/21|2020/04/02|2020/04/30
32662949|20201112|2020 Oct|2020/04/14|2020/06/24|2020/07/15
34036693|20210810|2021 Jul|2020/11/28|2021/05/18|2021/05/27
35086807|20220404|2022 Apr|N/A|2022/01/13|2022/01/29
35369883|20220405|2022 Apr 4|2021/10/04|2022/03/28|2022/04/05
34992723|20220110|2021|2021/09/23|2021/10/13|2022/01/08
34185044|20211014|2021 Oct 1|N/A|N/A|2021/06/30
33119418|20210128|2021 Jan|N/A|N/A|2020/10/30
32762961|20200922|2020 Oct 1|2020/05/20|2020/07/08|2020/08/09
32522523|20200825|2020 Aug|2020/05/13|2020/06/03|2020/06/12
34605853|20211217|2021 Dec 1|N/A|N/A|2021/10/05
32388676|20201001|2020 Oct|2020/04/27|2020/05/04|2020/05/11
34259776|20210820|2021|2020/12/03|2020/12/13|2021/07/15
35234199|20220407|2022 May 1|N/A|N/A|2022/03/03
34447639|N/A|2021 Jul|N/A|2021/07/23|2021/08/28
32792262|20201231|2020 Nov|N/A|N/A|2020/08/15
34160722|20211102|2021 Nov|2021/05/19|2021/06/15|2021/06/24
33949887|20210721|2021 Sep|N/A|N/A|2021/05/06
32433225|20200630|2020 Jul|N/A|N/A|2020/05/21
34337595|N/A|2021 Aug|2021/05/08|2021/06/14|2021/08/03
34253533|20210714|2021 Jul 12|N/A|N/A|2021/07/14
34446351|20211027|2021 Dec|2021/03/16|2021/08/06|2021/08/28
34136351|N/A|2021|2020/10/21|2021/06/10|2021/06/18
32713771|20201118|2020 Nov|N/A|N/A|2020/07/28
34219532|20210708|2021 Jan-Dec|N/A|N/A|2021/07/06
33045427|20210111|2021 Jan|2020/09/09|2020/10/06|2020/10/13
35361355|20220404|2022 Apr 5|2021/12/29|2022/02/03|2022/04/02
33081916|20201217|2020 Dec|2020/09/20|2020/09/21|2020/10/22
34278755|20210720|2021|N/A|N/A|2021/07/20
34544112|20210928|2021 Jul 26|N/A|N/A|2021/09/21
32531024|20200910|2020 Aug 14|2020/05/23|2020/06/05|2020/06/13
35174043|20220223|2022|2021/03/22|2021/12/18|2022/02/18
32838381|N/A|2020 Jun 13|2020/04/09|2020/04/27|2020/08/25
33457490|N/A|2021 Feb|2020/10/27|2021/01/04|2021/01/19
32638896|20200727|2020 Jun|2020/04/23|2020/05/06|2020/07/09
33552773|N/A|2021 Jan 3|N/A|N/A|2021/02/09
33818464|20210415|2021 Jan & Feb|N/A|N/A|2021/04/06
32607304|N/A|2020 Jun 24|N/A|N/A|2020/07/02
34268277|N/A|2021|2021/05/31|2021/06/04|2021/07/17
33741530|20210622|2021 May-Jun|2021/02/24|2021/03/10|2021/03/21
34239379|N/A|2021 Summer|N/A|N/A|2021/07/10
34715788|20211108|2021 Oct 29|2021/06/05|2021/10/05|2021/10/31
34356586|N/A|2021 Jul 18|2021/07/01|2021/07/16|2021/08/07
32514586|20200806|2020 Aug|2020/04/25|2020/05/19|2020/06/10
32685261|N/A|2020|2020/05/22|2020/06/11|2020/07/21
33169059|N/A|2020|N/A|2020/10/24|2020/11/11
33706880|20210318|2021 Mar 16|N/A|N/A|2021/03/13
32965356|20200930|2020|2020/06/23|2020/07/11|2020/09/24
34326176|20211217|2021 Oct|N/A|2021/07/23|2021/07/31
35141289|N/A|2021|2021/09/02|2021/12/31|2022/02/11
34246585|20210914|2021 Sep|2021/05/25|2021/06/09|2021/07/12
33210392|20210205|2021 Jan|2020/07/30|2020/11/02|2020/11/20
35295732|N/A|2022 Feb|2021/06/14|2022/02/01|2022/03/18
34960761|20220118|2021 Dec 13|2021/11/10|2021/12/09|2021/12/29
35180029|20220318|2022 Feb|N/A|N/A|2022/02/19
33872433|20210914|2021 Sep|2020/12/30|2021/04/06|2021/04/20
32905500|N/A|2020 Aug 3|N/A|N/A|2020/09/10
34487302|20220107|2022 Jan|2021/06/16|2021/08/20|2021/09/07
33621589|20210830|2021 Jul-Aug|2021/02/13|2021/02/13|2021/02/24
33118485|20210318|2021 Mar|N/A|N/A|2020/10/30
34605851|20211213|2021 Dec 1|N/A|N/A|2021/10/05
34854348|20211206|2021 Jan-Dec|N/A|N/A|2021/12/03
33507427|20210708|2021 Jun|2020/12/28|2021/01/06|2021/01/29
35214629|N/A|2022 Jan 22|2021/12/30|2022/01/21|2022/02/27
33703938|20210414|2021 May|N/A|N/A|2021/03/12
34333695|20211108|2021 Nov|2021/06/25|2021/07/28|2021/08/02
35105392|N/A|2022 Feb 2|N/A|N/A|2022/02/03
32464641|20200626|2020 Jun 21|N/A|N/A|2020/05/29
34112195|20210617|2021 Jun 10|2021/02/08|2021/04/02|2021/06/12
33833942|20210414|2021 Mar 15|N/A|N/A|2021/04/10
34693778|20211026|2021 Oct|N/A|N/A|2021/10/26
32726150|20201229|2020 Dec 15|N/A|N/A|2020/07/30
35058054|20220323|2022 Apr 1|2021/07/16|2021/12/20|2022/01/22
32502128|20200731|2020 Aug|N/A|N/A|2020/06/06
33240736|N/A|2020 Nov 22|N/A|N/A|2020/11/27
33042116|20201026|2020|2020/06/05|2020/07/28|2020/10/13
32537248|N/A|2020 Mar|2020/04/24|2020/05/14|2020/06/17
34791157|20220316|2022 Mar 14|2021/04/23|2021/09/13|2021/11/19
33686899|20210315|2021 Jan-Dec|N/A|N/A|2021/03/10
33937956|20210517|2021 May 3|N/A|2021/03/31|2021/05/04
33758123|20210412|2021 May-Jun 01|N/A|N/A|2021/03/25
33440111|N/A|2020 Dec|2020/08/19|2020/11/06|2021/01/14
34793207|20211129|2021 Nov 19|N/A|N/A|2021/11/19
33533821|20210205|2021|2020/11/04|2020/12/15|2021/02/04
34131550|N/A|2021 Jun 11|N/A|N/A|2021/06/17
34849667|20220304|2022 Mar 2|2021/11/15|2021/11/23|2021/12/02
32689809|20200924|2020 Sep 15|N/A|N/A|2020/07/22
32363406|20200617|2020 Jun 7|N/A|N/A|2020/05/05
34527626|N/A|2021|2021/07/12|2021/07/12|2021/09/17
34424994|20211213|2021|2021/08/23|2021/08/23|2021/08/24
34790619|N/A|2021|2021/07/04|2021/08/13|2021/11/19
34174415|20210908|2021 Sep-Oct|2021/05/31|2021/06/17|2021/06/27
34660088|N/A|2021 Sep|N/A|2021/09/10|2021/10/19
35256821|N/A|2022|N/A|N/A|2022/03/09
34614329|20211221|2021 Dec 2|N/A|N/A|2021/10/07
34321271|20210730|2021 Jul 28|N/A|N/A|2021/07/30
34609508|20211213|2021 Nov 22|2021/05/08|2021/09/28|2021/10/06
34136999|N/A|2021 Jun 16|2021/06/03|2021/06/09|2021/06/18
32562489|20200817|2020 Aug 1|2020/05/13|2020/06/04|2020/06/21
34427496|N/A|2021 Aug 24|N/A|N/A|2021/08/25
32730619|20201204|2020 Nov 1|N/A|N/A|2020/07/31
34804729|N/A|2021 Oct|N/A|2021/10/18|2021/11/23
35152471|20220404|2022 May|2022/01/27|2022/01/27|2022/02/14
34447795|N/A|2021|2021/05/23|2021/07/12|2021/08/28
32673494|20200729|2020 Jul|N/A|N/A|2020/07/17
34189485|N/A|2020 Sep|2020/08/20|2020/09/08|2021/07/01
32616174|20200708|2020 Jul|2020/05/05|2020/05/11|2020/07/04
32515382|20200618|2020 May|N/A|N/A|2020/06/10
34706169|20211222|2021 Dec 9|N/A|N/A|2021/10/28
35227610|N/A|2022 Feb 25|2021/11/09|2022/02/01|2022/03/02
34522553|N/A|2021 Aug|N/A|2021/08/10|2021/09/16
35321006|N/A|2022|2021/12/09|2022/01/31|2022/03/25
35132265|20220324|2022 Mar|2021/09/26|2022/01/07|2022/02/09
34063781|N/A|2021 May 21|2021/03/09|2021/05/19|2021/06/03
34319393|20211119|2021 Nov 11|2021/06/03|2021/06/29|2021/07/29
34246566|20210825|2021 Jun-Jul|2021/06/09|2021/06/21|2021/07/12
32838139|N/A|2020|N/A|2020/05/28|2020/08/25
33461305|20210329|2021 Jan|N/A|N/A|2021/01/20
33119481|20210329|2021 Apr 1|2020/08/04|2020/10/10|2020/10/30
34416319|20210922|2021 Oct 1|2021/06/17|2021/08/12|2021/08/21
34738231|20211112|2021 Nov|2021/04/08|2021/08/28|2021/11/06
34461005|20210906|2021 Aug|N/A|N/A|2021/08/31
34064463|N/A|2021 May 4|2021/03/17|2021/04/22|2021/06/03
32474800|20200706|2020 Jul|2020/04/25|2020/05/20|2020/06/01
34630914|N/A|2021 Sep 28|2021/02/28|2021/08/30|2021/10/12
33594347|N/A|2021 Feb|2020/06/09|2020/11/24|2021/02/18
33436362|20210121|2021 Jan 12|N/A|N/A|2021/01/14
33285106|20210212|2021 Feb|2020/09/08|2020/09/11|2020/12/08
32874745|N/A|2020 Aug|2020/04/22|2020/06/01|2020/09/03
33896266|20220208|2021 Dec|N/A|N/A|2021/04/27
35264107|20220314|2022 Mar 9|2021/08/18|2022/03/01|2022/03/11
32755097|20210114|2020 Nov|N/A|N/A|2020/08/06
35266090|N/A|2022 Apr|N/A|2022/02/24|2022/03/11
32592868|20201029|2020 Sep|2020/06/02|2020/06/18|2020/06/28
34395562|N/A|2021|2021/04/14|2021/06/30|2021/08/17
34414385|N/A|2021 Sep 10|2021/04/02|2021/08/09|2021/08/21
34133883|20210816|2021 Aug 10|N/A|N/A|2021/06/17
35329143|20220331|2022 Mar 15|2022/01/20|2022/03/11|2022/03/26
32247212|20200421|2020 May - Jun|N/A|N/A|2020/04/05
33443538|20210812|2021 Aug 1|N/A|N/A|2021/01/15
32500721|20200730|2020 Jul|N/A|N/A|2020/06/06
34599465|20211008|2021 Oct 1|N/A|2021/08/18|2021/10/03
34246586|20210914|2021 Sep|2021/05/18|2021/06/07|2021/07/12
34402230|20210825|2021 Aug 16|2021/07/08|2021/08/03|2021/08/18
35221088|20220302|2022 Mar|N/A|N/A|2022/03/01
34886523|20211213|2021 Dec 4|2021/10/26|2021/12/02|2021/12/11
33313825|20210222|2021 Feb 11|2020/11/08|2020/11/26|2020/12/15
32430971|20200804|2020 Jun|2020/05/08|2020/05/18|2020/05/21
34591186|20211105|2021 Nov|2021/08/14|2021/09/14|2021/10/01
34523321|20220330|2021 Sep 14|2021/01/24|2021/07/28|2021/09/16
32800590|20201215|2020 Nov 27|2020/06/24|2020/07/15|2020/08/18
33726806|20210329|2021 Mar 16|2020/11/10|2021/02/28|2021/03/18
33089055|N/A|2020 Oct|2020/05/04|2020/06/23|2020/10/23
34973828|20220331|2022 Mar-Apr|2021/11/16|2021/12/19|2022/01/03
33773099|20210621|2021 Jun|2021/01/13|2021/03/05|2021/03/28
34739045|N/A|2021 Nov 5|2021/07/27|2021/10/20|2021/11/06
34375696|20211206|2021 Oct|2021/07/20|2021/08/01|2021/08/11
33063450|N/A|2020 Oct 15|2020/05/19|2020/09/16|2020/10/17
32817822|N/A|2020 Aug|N/A|N/A|2020/08/21
34173942|20211007|2021 Sep|2021/04/06|2021/05/27|2021/06/27
33325495|20210625|2021 Jun 22|N/A|N/A|2020/12/17
33181783|20210119|2021 Feb 1|N/A|N/A|2020/11/13
34090980|20210907|2021 Aug|2021/03/04|2021/05/23|2021/06/07
32802325|N/A|2020 Sep|2020/06/22|2020/07/30|2020/08/18
34921468|N/A|2021 Dec 17|2021/11/13|2021/12/06|2021/12/19
33596594|20210519|2021 May 14|2020/11/10|2021/02/03|2021/02/18
33928623|20210507|2021 Apr|N/A|N/A|2021/05/01
33717739|N/A|2021 Feb 7|N/A|N/A|2021/03/16
33410259|20210408|2021 Apr|2020/08/09|2020/12/14|2021/01/08
32515676|20201130|2020 Dec|N/A|N/A|2020/06/10
33064698|20201022|2020|N/A|N/A|2020/10/17
34746286|N/A|2021|2021/07/28|2021/09/13|2021/11/09
34189492|N/A|2021 May|2021/06/02|2021/06/12|2021/07/01
32694081|20201001|2020 Oct|2020/05/07|2020/06/29|2020/07/23
34185046|20211020|2021 Oct 1|N/A|N/A|2021/06/30
34007346|N/A|2021 Nov|2021/03/13|2021/04/22|2021/05/20
32275347|20200608|2020 May|2020/04/06|2020/04/07|2020/04/11
32835278|N/A|2020 Jul 15|2020/05/04|2020/05/15|2020/08/25
