*** COUNTS ***
339×2 DataFrame
 Row │ TA                                 N
 320 │ Ann Card Anaesth                       1
 321 │ Clin Microbiol Infect                  1
 322 │ J Pers Med                             1
 323 │ Am J Obstet Gynecol                    1
 324 │ Ann Intensive Care                     1
 325 │ Ann Biol Clin (Paris)                  1
 326 │ Hong Kong Med J                        1
 327 │ J Thorac Imaging                       1
 328 │ Rev Esp Cardiol                        1
 329 │ Mod Pathol                             1
 330 │ J Community Hosp Intern Med Pers…      1
 331 │ Crit Pathw Cardiol                     1
 332 │ Clin Med Insights Case Rep             1
 333 │ J Med Case Rep                         1
 334 │ Cell Rep Med                           1
 335 │ Virus Res                              1
 336 │ J Cardiol                              1
 337 │ Prat Anesth Reanim                     1
 338 │ Eur J Nucl Med Mol Imaging             1
 339 │ Recent Adv Antiinfect Drug Discov      1
